order_id,flag,order_date,order_date_new,ship_date,ship_date_new,ship_mode,customer_name,segment,state,country,market,region,product_id,category,sub_category,product_name,sales,quantity,discount,discount_flag,profit,shipping_cost,order_priority,year
AG-2011-2040,12-08-2022,01-01-2011,2011-01-01,01-06-2011,2011-01-06,Standard Class,Toby Braunhardt,Consumer,Constantine,Algeria,Africa,Africa,OFF-TEN-10000025,Office Supplies,Storage,"Tenex Lockers, Blue",408,2,0,no,106.14,35.46,Medium,2011
IN-2011-47883,12-08-2022,01-01-2011,2011-01-01,01-08-2011,2011-01-08,Standard Class,Joseph Holt,Consumer,New South Wales,Australia,APAC,Oceania,OFF-SU-10000618,Office Supplies,Supplies,"Acme Trimmer, High Speed",120,3,0.1,yes,36.036,9.72,Medium,2011
HU-2011-1220,12-08-2022,01-01-2011,2011-01-01,01-05-2011,2011-01-05,Second Class,Annie Thurman,Consumer,Budapest,Hungary,EMEA,EMEA,OFF-TEN-10001585,Office Supplies,Storage,"Tenex Box, Single Width",66,4,0,no,29.64,8.17,High,2011
IT-2011-3647632,12-08-2022,01-01-2011,2011-01-01,01-05-2011,2011-01-05,Second Class,Eugene Moren,Home Office,Stockholm,Sweden,EU,North,OFF-PA-10001492,Office Supplies,Paper,"Enermax Note Cards, Premium",45,3,0.5,yes,-26.055,4.82,High,2011
IN-2011-47883,12-08-2022,01-01-2011,2011-01-01,01-08-2011,2011-01-08,Standard Class,Joseph Holt,Consumer,New South Wales,Australia,APAC,Oceania,FUR-FU-10003447,Furniture,Furnishings,"Eldon Light Bulb, Duo Pack",114,5,0.1,yes,37.77,4.7,Medium,2011
IN-2011-47883,12-08-2022,01-01-2011,2011-01-01,01-08-2011,2011-01-08,Standard Class,Joseph Holt,Consumer,New South Wales,Australia,APAC,Oceania,OFF-PA-10001968,Office Supplies,Paper,"Eaton Computer Printout Paper, 8.5 x 11",55,2,0.1,yes,15.342,1.8,Medium,2011
CA-2011-1510,12-08-2022,01-02-2011,2011-01-02,01-06-2011,2011-01-06,Standard Class,Magdelene Morse,Consumer,Ontario,Canada,Canada,Canada,TEC-OKI-10002750,Technology,Machines,"Okidata Inkjet, Wireless",314,1,0,no,3.12,24.1,Medium,2011
IN-2011-79397,12-08-2022,01-03-2011,2011-01-03,01-03-2011,2011-01-03,Same Day,Kean Nguyen,Corporate,New South Wales,Australia,APAC,Oceania,OFF-AP-10000304,Office Supplies,Appliances,"Hoover Microwave, White",276,1,0.1,yes,110.412,125.32,Critical,2011
ID-2011-80230,12-08-2022,01-03-2011,2011-01-03,01-09-2011,2011-01-09,Standard Class,Ken Lonsdale,Consumer,Auckland,New Zealand,APAC,Oceania,TEC-CO-10004182,Technology,Copiers,"Hewlett Wireless Fax, Laser",912,4,0.4,yes,-319.464,107.1,Low,2011
IZ-2011-4680,12-08-2022,01-03-2011,2011-01-03,01-07-2011,2011-01-07,Standard Class,Lindsay Williams,Corporate,Ninawa,Iraq,EMEA,EMEA,FUR-NOV-10002791,Furniture,Chairs,"Novimex Swivel Stool, Set of Two",667,4,0,no,253.32,81.26,High,2011
IN-2011-65159,12-08-2022,01-03-2011,2011-01-03,01-07-2011,2011-01-07,Second Class,Larry Blacks,Consumer,National Capital,Philippines,APAC,Southeast Asia,OFF-ST-10003020,Office Supplies,Storage,"Tenex Lockers, Industrial",338,3,0.45,yes,-122.8005,33.75,High,2011
IN-2011-65159,12-08-2022,01-03-2011,2011-01-03,01-07-2011,2011-01-07,Second Class,Larry Blacks,Consumer,National Capital,Philippines,APAC,Southeast Asia,FUR-TA-10002797,Furniture,Tables,"Chromcraft Round Table, Adjustable Height",211,1,0.55,yes,-70.3995,21.32,High,2011
ES-2011-4869686,12-08-2022,01-03-2011,2011-01-03,01-07-2011,2011-01-07,Standard Class,Dorothy Dickinson,Consumer,England,United Kingdom,EU,North,FUR-BO-10000728,Furniture,Bookcases,"Dania Corner Shelving, Traditional",854,7,0,no,290.43,12.56,Medium,2011
IN-2011-33652,12-08-2022,01-03-2011,2011-01-03,01-09-2011,2011-01-09,Standard Class,Dennis Pardue,Home Office,Sarawak,Malaysia,APAC,Southeast Asia,TEC-CO-10000594,Technology,Copiers,"Hewlett Fax and Copier, Laser",193,1,0,no,50.13,10.4,Medium,2011
